央视频道,#genre#
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20260118173110abc0eb8bc8d448569ac69b10d77ff1f2&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260118173110&Channel_ID=0116_2600001300-99000-201600010012309&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=153.0.195.9&SecurityKey=20260118173110&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=4131df24e8572e95e8d2ba27e5b02d0c
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=202601181731410978b9607024480d8abe2f7e6f3bb097&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260118173141&Channel_ID=0116_2600001300-99000-201600010012310&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=153.0.195.202&SecurityKey=20260118173141&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=307d4697cf703854ce116ff5b78ac106
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20260118173212f1ef8ad91f834b3fb8541c5f59809e46&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260118173212&Channel_ID=0116_2600001300-99000-201600010012311&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=153.0.195.39&SecurityKey=20260118173212&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=9b78ad7c36892d0872698533e0bf97c3
CCTV1综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV2财经,http://pull-hls-f1.douyincdn.com/media/stream-695106910011261612/playlist.m3u8?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-20260114100308192594C57677D9CCE8DA-vujvxt&wsSecret=5aec4b2fd09a7a40920df80db1862da9&wsTime=6966f95d
CCTV2财经,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=2026011817273488a4c4261e654266b636001048d4d59f&mdspid=&spid=699004&netType=4&sid=5500346945&pid=2028597139&timestamp=20260118172734&Channel_ID=0116_2600001300-99000-201600010012302&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=113.59.36.178&SecurityKey=20260118172734&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=e143138b7d3b950a6dd999b41f0741dc
CCTV2财经,http://pull-flv-f1.douyincdn.com/media/stream-695106910011261612.flv?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-20260114100308192594C57677D9CCE8DA-vujvxt&unique_id=stream-695106910011261612_684_flv&wsSecret=fc06766784777da294247d06ae30f581&wsTime=6966f95d
CCTV3综艺,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=202601181727035fee8871755943859a5dd369ff10d5ce&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20260118172703&Channel_ID=0116_2600001300-99000-201600010012301&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=113.59.36.158&SecurityKey=20260118172703&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=d13a54669f9b30e62c9a1ab06b397376
CCTV4中文国际,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=202601181726333dafcba074da48b085379956346f76a5&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20260118172633&Channel_ID=0116_2600001300-99000-201600010012300&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=113.59.36.85&SecurityKey=20260118172633&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=88d714535446dc02a70ea34a990ab38f
CCTV5体育,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=202601181726028f89941cf6fe49bd8320f53e5bc4f4e4&mdspid=&spid=699004&netType=4&sid=5500516171&pid=2028597139&timestamp=20260118172602&Channel_ID=0116_2600001300-99000-201600010012299&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=113.59.36.222&SecurityKey=20260118172602&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=bc40515ab5dbebdf27930ddadca406b8
